strategy,n_seeds,budget,final_hv_mean,final_hv_sd,best_t180_mean,best_t180_sd,best_peak_tendon_strain_mean,best_peak_tendon_strain_sd,hv_frac_of_reference,mannwhitney_p_vs_bo
botorch,9,36,0.0260585,0.00386734,0.759196,0.024312,0.0415185,0.00531417,,
sobol,10,36,0.0283731,0.00224351,0.720259,0.026082,0.0541323,0.00415959,,0.897166
lhs,10,36,0.029252,0.00223029,0.705477,0.0308626,0.0542909,0.00434538,,0.966904
random,10,36,0.0282096,0.00411465,0.726047,0.0365565,0.0559803,0.00908999,,0.911045
heuristic,10,36,0.0246007,0.00542255,0.755274,0.0434549,0.0482341,0.0253611,,0.270146
