seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
4,0,0,3.8569,10.5422,0.53227,51.3023,0.778054,0.614833,185.891,20.23,0.935999,20.6279,79.56,7.54679,4.01693,106.354,0.77195,0.128408,43.9894,5.95867,208.058,161.88,4.06,True,0.0178511,0.778054,185.891,0.128408
4,0,1,1.88311,14.83,0.852641,62.52,0.807332,0.611726,184.952,20.23,0.865966,39.088,73.6071,4.9634,4.232,353.31,0.812698,0.12212,123.971,12.86,208.351,168.208,4.06,False,0.0178511,0.778054,185.891,0.128408
4,0,2,2.56758,7.97681,0.403394,49.0203,0.824256,0.612106,185.067,20.23,0.834795,27.636,70.9576,8.89548,3.58838,170.255,0.825178,0.166892,102.155,10.8607,208.246,171.648,4.08,True,0.0178511,0.778054,185.067,0.128408
4,0,3,3.49246,17.4973,0.713328,75.283,0.769689,0.614768,185.871,20.23,1.08969,26.5211,92.624,5.29362,3.77608,204.672,0.763565,0.136375,60.8977,5.93815,208.049,160.133,4.08,True,0.0190888,0.769689,185.067,0.128408
4,0,4,3.27668,6.02317,0.806994,74.6159,0.920384,0.615657,186.14,20.23,0.55752,14.4626,47.3892,7.86782,6.34928,31.1401,0.948735,0.0506835,17.8066,12.8733,207.956,191.399,4.08,True,0.0190888,0.769689,185.067,0.0506835
4,0,5,2.73518,15.2833,0.497223,40.9374,0.7549,0.610104,184.461,20.23,1.10809,34.4355,94.1874,6.16277,3.06427,350.878,0.754334,0.211091,152.411,14.6798,208.349,157.282,4.06,False,0.0190888,0.769689,185.067,0.0506835
4,0,6,1.71406,8.38126,0.59214,66.9372,0.831623,0.612106,185.067,20.23,0.71367,35.3908,60.662,7.23781,4.28579,238.697,0.840136,0.123288,122.018,12.7511,208.349,173.268,4.06,True,0.0194007,0.769689,185.067,0.0506835
4,0,7,4.07407,12.8253,0.271932,58.1352,0.601273,0.6115,184.883,20.23,1.14153,23.8165,97.0302,7.56553,2.05731,172.907,0.600447,0.402385,129.237,12.6822,208.248,125.214,4.06,False,0.0194007,0.769689,185.067,0.0506835
4,0,8,4.32878,7.27705,0.648391,44.2681,0.858964,0.615422,186.069,20.23,0.708556,13.9132,60.2272,8.27632,5.3663,36.6267,0.862731,0.0750963,17.5579,9.72978,207.993,178.659,4.08,True,0.0210186,0.769689,185.067,0.0506835
4,1,9,4.4,11.6539,0.680779,80,0.854746,0.615728,186.162,20.23,0.916824,17.7114,77.9301,6.68705,4.55241,76.7997,0.845609,0.0895275,23.2471,7.86907,207.955,177.748,4.08,True,0.0211611,0.769689,185.067,0.0506835
