seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
5,2,26,4.4,8.00023,0.916667,40.2921,0.889693,0.61528,186.026,20.23,0.645146,12.463,54.8374,6.85448,6.28327,26.7593,0.909734,0.056992,16.8763,11.541,207.955,185.016,4.08,True,0.0252622,0.759277,185.163,0.0520784
5,3,27,3.50387,12.194,0.916667,40,0.838762,0.615146,185.986,20.23,0.812493,19.7101,69.0619,5.66359,5.19162,84.2884,0.83899,0.0815131,28.3448,10.5296,208.078,174.528,4.08,True,0.0253075,0.759277,185.163,0.0520784
5,3,28,3.17831,14.2385,0.916667,40,0.829216,0.614725,185.859,20.23,0.879431,23.5193,74.7516,5.24998,4.81248,129.903,0.830167,0.0945423,41.4386,10.2663,208.128,172.583,4.06,True,0.0253075,0.759277,185.163,0.0520784
5,3,29,3.70579,10.6553,0.916667,48.3141,0.856725,0.61538,186.057,20.23,0.754722,17.3111,64.1514,6.02062,5.5189,60.3959,0.863576,0.0709996,21.6317,10.4062,208.046,178.239,4.08,True,0.0253094,0.759277,185.163,0.0520784
5,3,30,3.49212,18.3333,0.916667,40,0.799561,0.614473,185.782,20.23,1.02334,24.9085,86.9836,4.74456,4.34918,169.544,0.80261,0.112633,50.2721,6.95521,208.118,166.403,4.06,True,0.0253094,0.759277,185.163,0.0520784
5,3,31,3.64875,11.3763,0.916667,42.1067,0.845674,0.615241,186.014,20.23,0.783338,18.2484,66.5838,5.85285,5.36511,69.6572,0.851167,0.0760892,24.211,10.4554,208.058,175.949,4.08,True,0.0253273,0.759277,185.163,0.0520784
5,3,32,4.4,7.19127,0.679041,40,0.86576,0.615386,186.058,20.23,0.691695,13.3623,58.7941,8.17576,5.55168,32.9795,0.872387,0.0713536,16.0471,9.69345,207.982,180.062,4.08,True,0.0253273,0.759277,185.163,0.0520784
5,3,33,4.04222,14.0757,0.639981,40,0.774154,0.614715,185.856,20.23,1.03562,21.7771,88.0279,6.25387,4.00236,131.151,0.771061,0.130788,46.9688,6.45339,208.08,161.086,4.06,True,0.0253273,0.759277,185.163,0.0520784
5,3,34,4.4,6.68229,0.676007,80,0.900103,0.615726,186.161,20.23,0.661019,12.7697,56.1866,8.40828,5.68406,28.7834,0.896437,0.0588809,14.1346,8.97853,207.955,187.181,4.08,True,0.0253273,0.759277,185.163,0.0520784
5,3,35,3.32794,12.9594,0.916667,40,0.833593,0.615004,185.943,20.23,0.837178,21.3826,71.1602,5.49099,5.03341,102.214,0.828089,0.086643,33.5026,10.8455,208.103,173.473,4.06,True,0.0253373,0.759277,185.163,0.0520784
