strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
sobol,5,2,24,3.2622,5.14399,0.548423,55.9788,0.872932,0.615497,186.092,20.23,0.594105,15.48,50.4989,9.81706,5.38391,38.0166,0.88737,0.0744973,21.1138,13.776,208.04,181.605,4.08,True,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,2,25,1.6589,18.1466,0.606969,70.4059,0.707172,0.607458,183.661,20.23,1.06158,54.394,90.2341,4.9725,3.01815,838.729,0.712347,0.202856,275.275,24.2922,208.592,147.51,4.06,False,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,2,26,2.64601,9.63038,0.388953,42.9413,0.799243,0.610775,184.664,20.23,0.936713,30.0908,79.6206,8.26765,3.21572,226.486,0.799379,0.200063,132.787,13.132,208.31,166.491,4.06,True,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,27,4.226,13.6618,0.788583,68.4426,0.834144,0.615677,186.146,20.23,0.944165,18.9905,80.2541,5.87432,4.63239,90.9267,0.82645,0.0899192,27.091,7.45039,207.996,173.499,4.08,True,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,28,3.69204,10.7422,0.684539,64.2398,0.835649,0.615536,186.104,20.23,0.861466,19.8331,73.2246,6.81656,4.6662,90.4875,0.831409,0.0925148,31.2549,7.61166,208.023,173.834,4.08,True,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,29,2.45195,12.5306,0.49308,49.9963,0.782997,0.610562,184.6,20.23,1.004,34.8051,85.3403,6.81054,3.35814,324.78,0.782595,0.181229,139.38,13.8533,208.337,163.128,4.06,False,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,30,2.21527,7.71385,0.836257,77.4525,0.87948,0.616077,186.267,20.23,0.605905,23.2487,51.502,6.67656,5.58332,87.4519,0.878389,0.0680269,37.3708,19.2669,208.124,183.041,4.06,True,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,31,3.43347,15.5572,0.319215,51.7831,0.562114,0.610432,184.56,20.23,1.20524,29.8374,102.446,6.58511,2.10206,286.526,0.561479,0.380571,175.684,16.6519,208.343,117.113,4.08,False,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,32,3.44891,10.0372,0.421775,41.4031,0.774505,0.613331,185.437,20.23,0.959595,23.6497,81.5655,8.12629,3.42747,143.32,0.778415,0.178238,77.8365,8.53355,208.158,161.22,4.08,True,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,33,2.15151,13.2354,0.735651,66.8954,0.832921,0.612895,185.305,20.23,0.884884,34.9593,75.2151,5.68288,4.18062,288.789,0.840762,0.123205,103.75,10.1241,208.252,173.457,4.06,False,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,34,2.43668,8.05094,0.266169,59.44,0.716048,0.609075,184.15,20.23,0.892815,31.1445,75.8893,9.42614,2.50895,231.256,0.715083,0.296078,192.088,17.7544,208.413,149.234,4.06,False,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,3,35,3.75598,15.2202,0.910795,73.8581,0.845474,0.615739,186.165,20.23,0.931698,21.0848,79.1943,5.20323,4.73907,110.607,0.838805,0.0861105,29.6617,9.62276,207.998,175.857,4.08,True,True,0.0289331,0.722428,183.783,0.0544575
