arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
5_0,bpx68c,e_reb_mJ,6.18044,0.13997,8.83325,4.27151
5_0,bpx68c,t180,1.01107,0.00023,1.05611,0.09938
6_0,nvxsrv,e_reb_mJ,8.20205,0.18474,8.94772,3.92414
6_0,nvxsrv,t180,1.02755,0.00044,1.03297,0.10907
7_0,ajhby6,e_reb_mJ,6.09974,0.13724,8.18589,4.44383
7_0,ajhby6,t180,1.01266,0.00038,1.04316,0.10459
8_0,r2d2c1,e_reb_mJ,5.96517,0.14590,10.53492,2.26775
8_0,r2d2c1,t180,0.99415,0.00045,1.04214,0.10433
9_0,r2d2c2,e_reb_mJ,5.62455,0.15060,7.45971,3.41482
9_0,r2d2c2,t180,1.04107,0.00336,1.00912,0.09594
