parameter,value,t180,t180__sd,e_reb_mJ,e_reb_mJ__sd
H_mm,60.00000,1.04656,0.06757,9.05092,1.74932
H_mm,66.25000,1.03763,0.06538,9.05600,1.68326
H_mm,72.50000,1.02972,0.06498,9.01045,1.68237
H_mm,78.75000,1.02350,0.06541,8.93272,1.70720
H_mm,85.00000,1.01950,0.06602,8.83468,1.73531
H_mm,91.25000,1.01791,0.06671,8.72876,1.76400
H_mm,97.50000,1.01862,0.06798,8.63476,1.81056
H_mm,103.75000,1.02124,0.07072,8.56220,1.89960
H_mm,110.00000,1.02525,0.07581,8.50438,2.05986
R_mm,25.00000,1.06464,0.07058,6.41874,1.63543
R_mm,26.87500,1.05464,0.06766,7.04242,1.53838
R_mm,28.75000,1.04447,0.06619,7.39121,1.52127
R_mm,30.62500,1.03456,0.06589,7.71755,1.72209
R_mm,32.50000,1.02533,0.06642,9.00449,1.67136
R_mm,34.37500,1.01709,0.06755,10.65751,2.19562
R_mm,36.25000,1.01002,0.06926,10.85784,2.15910
R_mm,38.12500,1.00409,0.07180,9.77089,1.81189
R_mm,40.00000,0.99913,0.07551,8.91428,1.81535
cable_d_mm,3.00000,0.98608,0.07450,10.03700,1.95590
cable_d_mm,3.31250,0.99327,0.07067,9.81346,1.86313
cable_d_mm,3.62500,1.00125,0.06840,9.55758,1.79524
cable_d_mm,3.93750,1.00981,0.06697,9.27254,1.74903
cable_d_mm,4.25000,1.01892,0.06605,8.96368,1.72611
cable_d_mm,4.56250,1.02857,0.06564,8.63886,1.73169
cable_d_mm,4.87500,1.03863,0.06584,8.30816,1.77097
cable_d_mm,5.18750,1.04883,0.06697,7.98244,1.84637
cable_d_mm,5.50000,1.05880,0.06974,7.67142,1.95747
mass_printed_g,17.50000,1.02149,0.08634,9.10717,2.09219
mass_printed_g,18.31250,1.01962,0.07384,9.00409,1.88382
mass_printed_g,19.12500,1.01926,0.06355,8.88807,1.71574
mass_printed_g,19.93750,1.02063,0.05679,8.76535,1.60873
mass_printed_g,20.75000,1.02340,0.05509,8.64307,1.58023
mass_printed_g,21.56250,1.02722,0.05923,8.52771,1.63442
mass_printed_g,22.37500,1.03195,0.06855,8.42400,1.75821
mass_printed_g,23.18750,1.03707,0.08118,8.33444,1.92956
mass_printed_g,24.00000,1.04181,0.09468,8.25962,2.12790
strut_d_mm,6.00000,1.03370,0.07357,8.69970,1.82979
strut_d_mm,6.75000,1.02963,0.06835,8.69912,1.77823
strut_d_mm,7.50000,1.02599,0.06556,8.70040,1.74865
strut_d_mm,8.25000,1.02321,0.06493,8.70352,1.74130
strut_d_mm,9.00000,1.02168,0.06596,8.70814,1.75550
strut_d_mm,9.75000,1.02166,0.06804,8.71368,1.78980
strut_d_mm,10.50000,1.02326,0.07077,8.71937,1.84223
strut_d_mm,11.25000,1.02641,0.07422,8.72439,1.91061
strut_d_mm,12.00000,1.03071,0.07889,8.72804,1.99286
twist_deg,40.00000,1.01893,0.07772,7.96966,2.06964
twist_deg,45.00000,1.01953,0.07264,8.12502,1.94349
twist_deg,50.00000,1.02039,0.07020,8.29177,1.83994
twist_deg,55.00000,1.02167,0.06865,8.46677,1.76131
twist_deg,60.00000,1.02366,0.06711,8.64556,1.71270
twist_deg,65.00000,1.02666,0.06582,8.82246,1.70113
twist_deg,70.00000,1.03107,0.06540,8.99100,1.73009
twist_deg,75.00000,1.03725,0.06666,9.14488,1.79699
twist_deg,80.00000,1.04503,0.07079,9.27914,1.89599
