round,plate,trial_index,best_predicted,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,mass_printed_g,strut_infill_pct,tpu_infill_pct,pla_nozzle_temp_C,pla_flow_mm3_s,tpu_nozzle_temp_C,tpu_flow_mm3_s,pla_speed_mm_s,tpu_speed_mm_s,pred_t180_mean,pred_t180_sd,pred_e_reb_mJ_mean,pred_e_reb_mJ_sd,pred_e_rebound_approx,target_mass_g,scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,joint_d_print_mm,core_d_print_mm,shell_d_print_mm,footprint_d_mm,solid_mass_g,printed_mass_g,envelope_cm3,envelope_ok,cable_bridge_ok
3,1,28,False,25.0000,60.0000,40.0000,9.7817,5.5000,20.2200,29.0000,46.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0769,0.2178,5.8472,5.4585,0.0193,20.2300,0.8456,21.1408,50.7378,8.2717,4.6510,5.9194,7.1879,9.8939,52.1754,28.5981,20.2300,71.2398,True,True
3,1,29,False,25.0000,64.7379,40.0000,10.2138,5.5000,20.2400,13.0000,52.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0724,0.2150,5.8585,5.4676,0.0194,20.2300,0.8587,21.4665,55.5878,8.7701,4.7226,6.0106,7.2986,10.0463,52.9793,31.7574,20.2300,80.4731,True,True
3,1,30,False,25.0000,60.0000,40.0000,6.0000,5.5000,20.2200,52.0000,24.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0769,0.2227,6.0848,5.5536,0.0201,20.2300,0.8969,22.4237,53.8169,5.3817,4.9332,6.2786,7.6241,10.4943,55.3417,24.5653,20.2300,85.0124,True,True
3,1,31,True,40.0000,110.0000,40.0000,12.0000,5.5000,20.2400,24.0000,29.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0530,0.2173,7.3300,5.4731,0.0242,20.2300,0.6737,26.9483,74.1079,8.0845,3.7054,4.7160,5.7265,7.8824,61.7791,29.6338,20.2300,169.0747,True,True
3,1,32,False,25.0000,60.0000,40.0000,7.8997,5.5000,20.2200,35.0000,13.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0748,0.2152,5.8958,5.4044,0.0195,20.2300,0.8797,21.9934,52.7841,6.9497,4.8385,6.1582,7.4778,10.2929,54.2797,26.9686,20.2300,80.2117,True,True
3,1,33,False,40.0000,110.0000,40.0000,11.2702,5.5000,20.2400,46.0000,18.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0587,0.2235,7.2831,5.5591,0.0241,20.2300,0.6528,26.1106,71.8041,7.3568,3.5902,4.5694,5.5485,7.6373,59.8585,25.9490,20.2300,153.7916,True,True
3,1,34,False,25.0000,74.2215,40.0000,12.0000,5.5000,20.2400,18.0000,57.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0727,0.2178,5.9248,5.5306,0.0196,20.2300,0.7857,19.6426,58.3161,9.4284,4.3214,5.4999,6.6785,9.1927,48.4779,32.1138,20.2300,70.6863,True,True
3,1,35,False,40.0000,110.0000,40.0000,6.0000,5.5000,20.2400,41.0000,35.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0690,0.2247,7.1952,5.5841,0.0238,20.2300,0.7744,30.9762,85.1845,4.6464,4.2592,5.4208,6.5824,9.0605,71.0129,24.5551,20.2300,256.7831,False,True
3,1,36,False,25.0000,60.0000,57.6919,12.0000,3.0000,20.2200,57.0000,41.0000,211.0000,15.8000,247.0000,4.8000,84.9462,25.8065,1.0727,0.2255,6.6252,5.5959,0.0219,20.2300,0.8018,20.0461,48.1107,9.6221,2.4055,5.6129,5.6129,8.1788,48.2711,25.2764,20.2300,60.7369,True,False
