arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
5_0,bpx68c,e_reb_mJ,6.18044,0.13997,9.01405,4.10769
5_0,bpx68c,t180,1.01107,0.00023,1.05147,0.11430
6_0,nvxsrv,e_reb_mJ,8.20205,0.18474,8.57324,3.79444
6_0,nvxsrv,t180,1.02755,0.00044,1.04608,0.10353
7_0,ajhby6,e_reb_mJ,6.09974,0.13724,8.42704,4.15781
7_0,ajhby6,t180,1.01266,0.00038,1.04199,0.08738
8_0,r2d2c1,e_reb_mJ,5.96517,0.14590,8.07287,3.87398
8_0,r2d2c1,t180,0.99415,0.00045,1.04817,0.09524
9_0,r2d2c2,e_reb_mJ,5.62455,0.15060,8.35945,4.07745
9_0,r2d2c2,t180,1.04107,0.00336,1.04759,0.09923
