specimen,n_valid,dv_health,t180_mean,t180_sd,t1000_mean,t1000_sd,out_180_g_mean,out_180_g_sd,in_180_g_mean,in_180_g_sd,in_dv_ms_mean,in_dv_ms_sd,t_second_ms_mean,t_second_ms_sd,e_rebound_mean,e_rebound_sd,fn_hz_mean,fn_hz_sd,zeta_pct_mean,zeta_pct_sd,H_mm,R_mm,cable_d_mm,mass_g,spec,strut_d_mm,twist_deg
6lhxfy,20,healthy,0.8896846681209369,0.004589310802173398,0.9126730324377276,0.0131563220511432,200.0408277395844,4.6514371915461785,224.01245885825836,5.995658100190466,5.372048406038164,0.0934751567632233,55.178585858587184,0.8852545005920192,0.04951616963508894,0.0005314598267819085,368.3766929752503,17.11345069852911,10.146626604741746,0.9777540895501612,68.08,28.72,2.55,18.5,01,9.24,77.4
6nheas,20,settled,0.9948857680004524,0.003463590807733253,0.996314364082866,0.0052552248563551,226.34077340065016,1.4388616382651154,227.02267034032064,1.6728742296785994,5.259208770534627,0.0353727225454191,43.16525252525357,0.2734897059374737,0.0399411264271421,0.0002825665372294875,321.99195771799134,2.4244345791690534,19.309100372688224,1.085471166468135,65.99,37.89,4.23,21.73,05,6.74,53.0
9hhbkp,20,healthy,1.0210800211200777,0.0007033257393862412,1.0282110110242726,0.0163756124612665,236.0833535109636,2.8312331123551147,231.8301559254594,2.546053534856611,5.450579779777187,0.0470278581955188,23.898181818182398,0.3626781438032697,0.02156697381018554,0.0006433092474326818,364.0882452756041,2.54507787057255,11.213840199194124,0.7839554085986238,76.16,27.3,4.58,21.62,00,6.7,59.8
amdjwm,20,settled,0.9808761834036028,0.0033756213623767155,1.0070155415571158,0.0074730923351426,198.6387008745415,3.79917949231515,202.59422942932696,4.061873527374104,5.26116704531628,0.02552003165841,31.77292929293005,15.703284022356534,0.02339801502989255,0.00037606780766633534,455.1422842666137,4.532342201263233,9.63775574988539,0.6649355573666423,,,,,,,
autv5r,20,healthy,1.044209564096064,0.0035507968181820305,1.1362007153698894,0.0392710563919582,230.9171047535384,5.721327893405877,221.9440055442116,5.449419506227793,5.337817923461658,0.1170192297289034,29.166138613862092,0.3199467777522761,0.026471983705213732,0.0003391625512432,385.715264593775,20.860866998795554,6.380085566114936,1.4104910902589485,93.5,36.44,3.67,22.04,02,6.61,47.7
bag26v,20,settled,1.0694449636997079,0.002612134154285659,1.24170361731896,0.0258930564768412,217.46175225391917,2.4155740710819336,204.8480728291229,2.7799013404955963,5.030191859399339,0.0412123239753894,24.72181818181878,0.2702695692715237,0.023999426953027474,0.0001497089485032801,,,,,104.86,30.17,3.32,21.42,08,6.45,63.8
bpx68c,20,healthy,1.0136066968276558,0.0015055507204280144,1.0665486364173136,0.0054532435803746,210.5528859406069,1.9716248454232088,208.24516282501168,1.635683605699002,5.301694173138132,0.0299473748013851,22.101212121212654,0.2929068693924664,0.019937857454126146,0.0002676526840482248,467.5722992210511,,16.72640738125103,,80.77,28.85,3.46,20.23,S0,6.92,60.0
nvxsrv,20,healthy,1.0297465754722155,0.005066310042312613,1.2299125486643814,0.0148771483699859,235.36182942592063,1.5894322058360262,229.0532904567841,1.483708969623574,5.326888620354981,0.0445925176208996,28.85797979798049,1.2518215134868893,0.026711870455850033,0.0014153661915596119,294.2530703381057,20.921403962842277,31.04212539503506,2.359935553409769,85.68,22.72,3.7,20.66,04,7.64,70.4
ajhby6,20,settled,1.0136657789395342,0.004389826585684811,1.033838441295097,0.0211151421832109,233.06836628279655,1.8600842929330497,230.15795342146205,1.9869610707768364,5.233509642825024,0.038475014281004,21.214545454545966,0.5851831611525501,0.01915752574255843,0.0009936703692255422,,,,,66.53,26.77,4.39,20.53,07,7.63,44.5
