metric,parameter,importance,q25,q75,median_per_draw
t180,R_mm,0.1165,0.0851,0.1371,0.1190
t180,H_mm,0.2293,0.1497,0.2041,0.1850
t180,twist_deg,0.1775,0.0960,0.2156,0.1822
t180,strut_d_mm,0.1635,0.1009,0.2325,0.1609
t180,cable_d_mm,0.1091,0.0675,0.1468,0.1195
t180,mass_printed_g,0.2040,0.1110,0.2238,0.1638
e_reb_mJ,R_mm,0.2700,0.1043,0.3300,0.2473
e_reb_mJ,H_mm,0.1648,0.0841,0.2207,0.1161
e_reb_mJ,twist_deg,0.1386,0.0727,0.1655,0.1015
e_reb_mJ,strut_d_mm,0.1199,0.0638,0.1905,0.1468
e_reb_mJ,cable_d_mm,0.1506,0.0796,0.1669,0.1406
e_reb_mJ,mass_printed_g,0.1561,0.0854,0.1843,0.1026
