specimen,n_valid,dv_health,t180_mean,t180_sd,t1000_mean,t1000_sd,out_180_g_mean,out_180_g_sd,in_180_g_mean,in_180_g_sd,in_dv_ms_mean,in_dv_ms_sd,t_second_ms_mean,t_second_ms_sd,e_rebound_mean,e_rebound_sd,fn_hz_mean,fn_hz_sd,zeta_pct_mean,zeta_pct_sd,t_drift_flag,t180_slope_pct_per_drop,t180_e2e_pct,H_mm,R_mm,cable_d_mm,mass_g,spec,strut_d_mm,twist_deg
r2d2c1,21,healthy,0.9941502089448192,0.0020547299672482,1.0023611455082977,0.0056794779703121,227.936356359094,4.343571324088003,229.2776534232955,4.345464795525673,5.313316582530402,0.1314245252006278,22.30315789473738,0.299352126944903,0.0205950647274666,0.0006130925921275,,,,,False,-0.0001992359984331,0.04,65.52,27.3,3.28,19.38,3,8.08,80.0
r2d2c2,21,healthy,1.0410720834858893,0.0154142734683684,1.114236445148111,0.0624862807202874,238.20396164029995,2.2942981159303595,228.8340737811513,2.5954677885601134,5.31940670132629,0.0999151965482384,22.725263157895284,0.7710841460138748,0.0209544145122387,0.0008003930337027,286.3424582031864,1.832433409081834,25.246417238230173,1.4934246217702982,True,0.2529227818873344,3.5,53.91,22.46,2.7,17.96,2,10.78,40.0
r2d2c3,21,healthy,1.3336523122690265,0.011658778776069,2.4811536672200805,0.0217634910473324,302.34911473975825,2.652113614252614,226.71065629696835,1.2160898040222805,5.307651020510293,0.0298612318908633,21.73789473684263,0.2979108544396906,0.0200822272582903,0.0002734213085273,315.54675497692324,0.4611276680753966,8.188237965769718,0.1207434653395771,False,-0.0145419154141331,-0.38,48.17,20.07,4.42,18.63,6,9.63,80.0
r2d2c4,21,healthy,1.1846829019127807,0.0075857922645929,1.2212818086047037,0.0218340124372285,268.67388065941367,1.6173266352090343,226.79126537114365,0.712308852936108,5.315968425846937,0.018671822026623,24.17894736842164,0.1979308166686949,0.0223023456739083,0.0001974545002513,362.6760368634203,0.5463776135560439,12.324696728118749,0.1624599153382693,False,0.0475187956020969,0.66,45.19,30.12,4.14,19.33,1,9.04,80.0
r2d2c5,21,healthy,1.1515512545785225,0.0039786455758361,1.460598568649884,0.0271882151790715,263.42261050987463,1.6112888429053156,228.7528351201742,0.7009781471614225,5.366680961494667,0.0147442333819573,20.92526315789524,0.2725062368512152,0.0191184779506524,0.0002339018981638,308.130645362504,1.035289592994865,8.050486077650683,0.0790817139600612,False,-0.0586653581858028,-0.85,60.14,25.06,5.51,23.47,8,6.01,80.0
r2d2c6,21,healthy,1.0548487061828669,0.0042321962466726,1.0915107253109724,0.0204712558014024,241.9282562254897,1.5942598976156133,229.3468402167615,0.7061094862407344,5.407057282506557,0.0195425970200785,15.701052631579326,0.2859272389348661,0.0142379425807297,0.0002308833527036,313.6866339884044,2.3136379429393066,8.297183368253318,0.1280918386278027,False,-0.0564887710490683,-0.84,48.95,20.4,4.49,19.11,4,9.79,40.0
r2d2c7,21,healthy,0.9483789100007614,0.0008327832156185,1.1069613678311796,0.0115864337616295,216.9656586842028,0.6624822389360878,228.77510442418503,0.5991815853900138,5.319947288297428,0.0185478455427663,47.71578947368536,0.1723792907603527,0.0439793864775476,0.0001910068256233,682.4797061666841,32.642120538744535,9.355636142178287,0.7012648339133523,False,-0.0115302291827555,-0.16,52.33,34.89,2.62,18.51,5,10.47,40.0
r2d2c8,22,healthy,1.070425403666691,0.011601942103508,1.5521182752575935,0.1483606654611135,244.2031249133966,3.3082220724627787,228.13075315168496,0.8020511526920305,5.286740693515247,0.0286677269282263,28.49700000000069,0.2917298678392011,0.0264313230142043,0.000332702547833,314.70213652766614,1.6255731723002047,8.546514878319131,0.4290207725628933,False,-0.0957015939263637,-1.54,74.05,26.93,3.7,19.98,7,8.08,80.0
r2d2c9,21,healthy,1.0529880594869705,0.0035220108740144,1.4740783385057086,0.0505306441017616,241.4447799613849,0.5234549035578744,229.2964021305209,0.6251575968236489,5.311016525959895,0.0208402154757274,23.636842105263725,0.084659621201542,0.0218227635452851,0.0001246126382976,,,,,False,0.0538528205663473,0.77,52.67,21.95,2.63,17.91,0,10.53,80.0
