specimen,trial_index,best_predicted,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,strut_infill_pct,tpu_infill_pct,scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,joint_d_print_mm,core_d_print_mm,shell_d_print_mm,footprint_d_mm,envelope_cm3,envelope_ok,cable_bridge_ok,pla_nozzle_temp_C,pla_flow_mm3_s,tpu_nozzle_temp_C,tpu_flow_mm3_s,pla_solid_g,tpu_solid_g,solid_g,printed_g_est,target_printed_g,printed_g_delta,footprint_meas_mm,plate_x_mm,plate_y_mm,struts_stl,cables_stl
0,55,True,25.0049,109.8652,40.0739,6.0000,5.4808,25,20,0.828128,20.7073,90.9824,4.9688,4.5388,5.7969,7.0232,9.6732,51.0877,122.5610,True,True,223.0000,24.7000,240.0000,3.0000,15.75,10.17,25.92,20.47,20.23,+0.24,70.0,234.1,161.6,per-specimen-stls/t3-prism-bo-round5-t55-struts.stl,per-specimen-stls/t3-prism-bo-round5-t55-cables.stl
1,56,False,39.9833,77.1184,78.8409,10.6034,3.0000,22,19,0.856495,34.2455,66.0515,9.0818,2.5695,5.9955,5.9955,8.7362,77.2272,243.3542,True,False,223.0000,24.7000,240.0000,3.0000,27.23,4.04,31.27,19.90,20.23,-0.33,95.6,77.8,161.6,per-specimen-stls/t3-prism-bo-round5-t56-struts.stl,per-specimen-stls/t3-prism-bo-round5-t56-cables.stl
2,57,False,25.0000,109.9022,43.7231,6.0000,5.4416,28,14,0.828667,20.7166,91.0723,4.9720,4.5093,5.8007,6.9953,9.6470,51.0803,122.7934,True,True,223.0000,24.7000,240.0000,3.0000,15.77,10.04,25.81,20.48,20.23,+0.25,70.0,234.1,252.6,per-specimen-stls/t3-prism-bo-round5-t57-struts.stl,per-specimen-stls/t3-prism-bo-round5-t57-cables.stl
3,58,False,25.0282,107.5560,40.0000,6.0000,5.5000,23,24,0.832002,20.8236,89.4868,4.9920,4.5760,5.8240,7.0720,9.7344,51.3815,121.9042,True,True,223.0000,24.7000,240.0000,3.0000,15.73,10.27,26.01,20.45,20.23,+0.22,70.3,161.9,161.6,per-specimen-stls/t3-prism-bo-round5-t58-struts.stl,per-specimen-stls/t3-prism-bo-round5-t58-cables.stl
4,59,False,39.3231,71.4837,78.3603,10.0904,3.0000,22,13,0.890872,35.0319,63.6828,8.9893,2.6726,6.2361,6.2361,9.0869,79.1506,245.5265,True,False,223.0000,24.7000,240.0000,3.0000,26.74,4.41,31.15,19.93,20.23,-0.30,97.6,77.8,68.9,per-specimen-stls/t3-prism-bo-round5-t59-struts.stl,per-specimen-stls/t3-prism-bo-round5-t59-cables.stl
5,60,False,25.0000,109.9075,40.0000,6.0000,5.4140,26,23,0.831236,20.7809,91.3591,4.9874,4.5003,5.8187,6.9940,9.6540,51.2158,123.9455,True,True,223.0000,24.7000,240.0000,3.0000,15.82,10.05,25.87,20.48,20.23,+0.25,70.1,161.9,252.6,per-specimen-stls/t3-prism-bo-round5-t60-struts.stl,per-specimen-stls/t3-prism-bo-round5-t60-cables.stl
6,61,False,25.0000,110.0000,40.0000,6.0000,5.3235,32,20,0.831907,20.7977,91.5098,4.9914,4.4287,5.8233,6.9244,9.5865,51.1819,124.3503,True,True,223.0000,24.7000,240.0000,3.0000,15.82,9.75,25.58,20.50,20.23,+0.27,70.1,234.1,68.9,per-specimen-stls/t3-prism-bo-round5-t61-struts.stl,per-specimen-stls/t3-prism-bo-round5-t61-cables.stl
7,62,False,25.1792,102.7357,40.0000,6.0000,5.5000,23,22,0.840128,21.1537,86.3111,5.0408,4.6207,5.8809,7.1411,9.8295,52.1369,121.3361,True,True,223.0000,24.7000,240.0000,3.0000,15.68,10.36,26.04,20.41,20.23,+0.18,71.0,161.9,68.9,per-specimen-stls/t3-prism-bo-round5-t62-struts.stl,per-specimen-stls/t3-prism-bo-round5-t62-cables.stl
8,63,False,40.0000,78.6715,78.9297,10.7812,3.0005,24,22,0.840200,33.6080,66.0998,9.0584,2.5210,5.8814,5.8814,8.5700,75.7861,234.5504,True,False,223.0000,24.7000,240.0000,3.0000,26.95,3.84,30.78,19.90,20.23,-0.33,94.2,77.8,252.6,per-specimen-stls/t3-prism-bo-round5-t63-struts.stl,per-specimen-stls/t3-prism-bo-round5-t63-cables.stl
