n_per_design,t180_se_design_mean,reb_se_design_mean,p_t180_order_meas_truth,p_t180_order_model_truth,p_reb_corny8_highest_meas_truth,p_reb_corny7_vs_corny2
1,0.013171221333975502,4.464659472845853,1.0,0.370215,0.838825,0.5089940386772562
3,0.007604408182726899,2.577672348487566,1.0,0.28498,0.97811,0.5155754928203901
9,0.004390407111325168,1.488219824281951,1.0,0.16375,0.999905,0.5269638399374403
