specimen,drop_index,event_time,t180,e_rebound
drran1,0,2026-09-02T20:23:15,1.0307050880898245,0.06127738037162836
drran1,1,2026-09-02T20:24:00,1.0288199738715893,0.06197628026172397
drran1,2,2026-09-02T20:24:45,1.030703214213871,0.0617663335537929
drran1,3,2026-09-02T20:25:30,1.0303978358742885,0.06244425890941573
drran1,4,2026-09-02T20:26:15,1.0325799464253125,0.06260286681278962
drran1,5,2026-09-02T20:27:00,1.0331519788572259,0.0625983960920261
drran1,6,2026-09-02T20:27:45,1.031894603142481,0.06311853494665431
drran1,7,2026-09-02T20:28:31,1.0318873991142015,0.06309624047585083
drran1,8,2026-09-02T20:29:16,1.0324335605742723,0.06282167059067201
drran1,9,2026-09-02T20:30:01,1.0335060837503682,0.06308020556417511
drran1,10,2026-09-02T20:30:46,1.0332404500533843,0.06324550017460065
drran1,11,2026-09-02T20:31:31,1.0354380231949845,0.06333388261397382
drran1,12,2026-09-02T20:32:16,1.0335729845860582,0.06271109457095193
drran1,13,2026-09-02T20:33:01,1.0329692017762044,0.06269607142002132
drran1,14,2026-09-02T20:33:46,1.032973480735612,0.06327845044478819
drran1,15,2026-09-02T20:34:32,1.0348389820626944,0.06306724053026372
drran1,16,2026-09-02T20:35:17,1.0342075467953027,0.0626292674764181
drran1,17,2026-09-02T20:36:02,1.0332996480507053,0.06269867512786592
drran2,0,2026-09-02T20:42:43,1.0348348008578852,0.040969606297051396
drran2,1,2026-09-02T20:43:28,1.0351184394776418,0.040855539149221264
drran2,2,2026-09-02T20:44:13,1.0347249451734315,0.040687119209343967
drran2,3,2026-09-02T20:44:58,1.0350616277131213,0.0408387691019815
drran2,4,2026-09-02T20:45:43,1.0350884472084485,0.04161472720674423
drran2,5,2026-09-02T20:46:28,1.0345582898909307,0.04086801335528532
drran2,6,2026-09-02T20:47:13,1.0350231338238491,0.04068398552782509
drran2,7,2026-09-02T20:47:58,1.0338407151164823,0.04044221746261705
drran2,8,2026-09-02T20:48:43,1.0332974641088006,0.041284787715495604
drran2,9,2026-09-02T20:49:29,1.034600915424208,0.04059698824135561
drran2,10,2026-09-02T20:50:14,1.0340566478297593,0.041042790403980824
drran2,11,2026-09-02T20:50:59,1.034027653660098,0.040405633387125446
drran2,12,2026-09-02T20:51:44,1.034100790315005,0.04084489710832633
drran2,13,2026-09-02T20:52:29,1.0351767982615685,0.04076531935285791
drran2,14,2026-09-02T20:53:14,1.0335756602966748,0.03974167942117543
drran2,15,2026-09-02T20:53:59,1.033872128595706,0.03981821815379206
drran2,16,2026-09-02T20:54:44,1.0352248130282147,0.04026443045027333
drran2,17,2026-09-02T20:55:29,1.0354553550615715,0.04091106431109299
drran3,0,2026-09-02T23:32:02,1.0401492331528188,0.013562565453183314
drran3,1,2026-09-02T23:32:43,1.0403899468494069,0.013754076216556013
drran3,2,2026-09-02T23:33:24,1.040157656036169,0.014242039517520448
drran3,3,2026-09-02T23:34:05,1.0393009707856509,0.014286713481186023
drran3,4,2026-09-02T23:34:47,1.0403361182793218,0.014184753261376764
drran3,5,2026-09-02T23:35:28,1.03857418451665,0.013996054180127762
drran3,6,2026-09-02T23:36:09,1.040286731994031,0.017221205963698385
drran3,7,2026-09-02T23:36:51,1.0383591593975983,0.014056449027964357
drran3,8,2026-09-02T23:37:32,1.0387780108465594,0.014368515762822246
drran3,9,2026-09-02T23:38:13,1.039355451842318,0.013872519844587497
