round,specimen,start_utc,end_utc,n_scored,session_min,dt_median_s,gap_max_s,n_pauses_gt120s,dv_health,in_dv_ms_mean,in_dv_ms_sd,in_180_g_mean,in_180_g_sd,t180_w19_cv_pct,t180_w19_slope_pct_per_drop,ereb_w19_cv_pct
round 1,bag26v,2026-08-13 20:01:10,2026-08-13 21:09:01,99,67.85,42.0,42.0,0,settled,5.030191859399339,0.0412123239753894,204.8480728291229,2.7799013404955963,0.24006247209231035,-0.040244097344475364,0.6036140228029855
round 1,amdjwm,2026-08-17 20:00:08,2026-08-17 21:11:02,99,70.9,42.0,157.0,1,settled,5.26116704531628,0.02552003165841,202.59422942932696,4.061873527374104,0.3378852422271138,0.0460972829287688,1.5517466869519945
round 1,bpx68c,2026-08-17 22:00:38,2026-08-17 23:28:03,99,87.41666666666667,42.0,664.0,2,healthy,5.301694173138132,0.0299473748013851,208.24516282501168,1.635683605699002,0.14415986406364034,-0.022394610491188363,1.2475448399790832
round 1,autv5r,2026-08-19 21:40:00,2026-08-19 23:08:37,101,88.61666666666666,41.0,510.0,3,healthy,5.337817923461658,0.1170192297289034,221.9440055442116,5.449419506227793,0.33703100796255625,-0.03271897573747601,1.2196590711839574
round 1,6lhxfy,2026-08-20 19:23:45,2026-08-20 20:34:07,99,70.36666666666666,42.0,46.0,0,healthy,5.372048406038164,0.0934751567632233,224.01245885825836,5.995658100190466,0.5025221091921968,0.08884979164055698,1.0126974113588987
round 1,9hhbkp,2026-08-20 20:57:58,2026-08-20 22:11:50,99,73.86666666666666,45.0,46.0,0,healthy,5.450579779777187,0.0470278581955188,231.8301559254594,2.546053534856611,0.06102086580792186,-0.0022645928495120646,2.9588104404987017
round 1,nvxsrv,2026-08-20 22:21:31,2026-08-20 23:47:43,99,86.2,45.0,794.0,1,healthy,5.326888620354981,0.0445925176208996,229.0532904567841,1.483708969623574,0.4712184904478701,-0.029850168092684752,5.046968139218534
round 1,6nheas,2026-08-21 00:10:42,2026-08-21 01:24:28,99,73.76666666666667,45.0,46.0,0,settled,5.259208770534627,0.0353727225454191,227.02267034032064,1.6728742296785994,0.34621962099541986,0.0007750827472851221,0.6426472112654968
round 1,ajhby6,2026-08-21 18:17:09,2026-08-21 19:24:54,99,67.75,41.0,42.0,0,settled,5.233509642825024,0.038475014281004,230.15795342146205,1.9869610707768364,0.4330632724531632,-0.015077505386837477,5.044558883004222
round 2,r2d2c1,2026-08-24 18:57:27,2026-08-24 19:10:19,19,12.866666666666667,41.0,46.0,0,healthy,5.313316582530402,0.1314245252006278,229.2776534232955,4.345464795525673,0.2011695289069611,-0.00019923599843742779,2.8974927604002207
round 2,r2d2c2,2026-08-24 19:45:08,2026-08-24 19:58:18,19,13.166666666666666,45.0,46.0,0,healthy,5.31940670132629,0.0999151965482384,228.8340737811513,2.5954677885601134,1.4411251943463481,0.2529227818873332,3.7178102584898407
round 2,r2d2c3,2026-08-24 20:08:32,2026-08-24 20:22:04,19,13.533333333333333,45.0,46.0,0,healthy,5.307651020510293,0.0298612318908633,226.71065629696835,1.2160898040222805,0.8508830874301739,-0.014541915414136049,1.3251954377252468
round 2,r2d2c4,2026-08-24 20:31:13,2026-08-24 20:44:45,19,13.533333333333333,45.0,46.0,0,healthy,5.315968425846937,0.018671822026623,226.79126537114365,0.712308852936108,0.6232442451451589,0.047518795602092934,0.8617393912131257
round 2,r2d2c5,2026-08-24 20:53:41,2026-08-24 21:07:16,19,13.583333333333334,45.0,46.0,0,healthy,5.366680961494667,0.0147442333819573,228.7528351201742,0.7009781471614225,0.3362880481028974,-0.05866535818580655,1.1908029004170828
round 2,r2d2c6,2026-08-24 21:16:29,2026-08-24 21:30:04,19,13.583333333333334,45.0,46.0,0,healthy,5.407057282506557,0.0195425970200785,229.3468402167615,0.7061094862407344,0.39051262173354906,-0.05648877104907086,1.5783555262420652
round 2,r2d2c7,2026-08-24 21:42:23,2026-08-24 21:55:58,19,13.583333333333334,45.0,46.0,0,healthy,5.319947288297428,0.0185478455427663,228.77510442418503,0.5991815853900138,0.0854691781777603,-0.011530229182759017,0.42272620670749583
round 2,r2d2c8,2026-08-24 22:05:54,2026-08-24 22:30:08,20,24.233333333333334,45.0,640.0,1,healthy,5.286740693515247,0.0286677269282263,228.13075315168496,0.8020511526920305,1.05150343534836,-0.09218870700880828,1.1818519607695879
round 2,r2d2c9,2026-08-24 22:51:26,2026-08-24 23:04:58,19,13.533333333333333,45.0,46.0,0,healthy,5.311016525959895,0.0208402154757274,229.2964021305209,0.6251575968236489,0.32555674534371787,0.053852820566347166,0.5557913662094516
