specimen,drop_index,event_time,t180,e_rebound
6lhxfy,0,2026-08-20T19:23:45,0.8808034204731069,0.04820914478662131
6lhxfy,1,2026-08-20T19:24:26,0.882796001890077,0.049485877361263746
6lhxfy,2,2026-08-20T19:25:08,0.8827946222953713,0.04871453646398009
6lhxfy,3,2026-08-20T19:25:48,0.8848824338098501,0.04895470217736888
6lhxfy,4,2026-08-20T19:26:30,0.8857451468539148,0.04904999480744151
6lhxfy,5,2026-08-20T19:27:11,0.8855170280100874,0.04906513744495876
6lhxfy,6,2026-08-20T19:27:52,0.8885771085928638,0.04939432329151783
6lhxfy,7,2026-08-20T19:28:33,0.8881696728413165,0.04936067551919684
6lhxfy,8,2026-08-20T19:29:14,0.8898307351774242,0.04975829956732924
6lhxfy,9,2026-08-20T19:29:55,0.8898657296481194,0.04930558044237274
6lhxfy,10,2026-08-20T19:30:36,0.8923390873293479,0.049627256244229
6lhxfy,11,2026-08-20T19:31:17,0.891340021507592,0.04951153590719702
6lhxfy,12,2026-08-20T19:31:58,0.8920529806508355,0.04960587462446989
6lhxfy,13,2026-08-20T19:32:40,0.8933670910632682,0.0498854520851244
6lhxfy,14,2026-08-20T19:33:21,0.8926889328395013,0.04991742969928756
6lhxfy,15,2026-08-20T19:34:02,0.8926248976164537,0.04987042865503917
6lhxfy,16,2026-08-20T19:34:43,0.8958281698283025,0.0502189445261898
6lhxfy,17,2026-08-20T19:35:25,0.8962963720450812,0.050204720241888524
6lhxfy,18,2026-08-20T19:36:06,0.8940666411798386,0.049914458947036965
6lhxfy,19,2026-08-20T19:36:47,0.8941072687663874,0.05026901990926628
6lhxfy,20,2026-08-20T19:37:28,0.8951766904787722,0.05018953624740477
6lhxfy,21,2026-08-20T19:38:09,0.8966646367587962,0.050423494310045225
6lhxfy,22,2026-08-20T19:38:51,0.8984085719443982,0.050561970428747
6lhxfy,23,2026-08-20T19:39:32,0.8970988523750107,0.050639511168902494
6lhxfy,24,2026-08-20T19:40:13,0.8949517550910843,0.050109828788070666
6lhxfy,25,2026-08-20T19:40:54,0.8974311362422523,0.050663035557489675
6lhxfy,26,2026-08-20T19:41:35,0.8968970136994704,0.050581477712218194
6lhxfy,27,2026-08-20T19:42:16,0.8985384780602039,0.05065035326966173
6lhxfy,28,2026-08-20T19:42:57,0.896168417764378,0.05047590991019914
6lhxfy,29,2026-08-20T19:43:38,0.8999150753203924,0.050701181930806694
6lhxfy,30,2026-08-20T19:44:19,0.8956023015046786,0.05051066471177091
6lhxfy,31,2026-08-20T19:45:01,0.8987822069016538,0.05080422312571464
6lhxfy,32,2026-08-20T19:45:42,0.8977846585110734,0.05160757238281426
6lhxfy,33,2026-08-20T19:46:23,0.8983981289957879,0.05099354615169168
6lhxfy,34,2026-08-20T19:47:04,0.8996300369581152,0.05137768057147539
6lhxfy,35,2026-08-20T19:47:45,0.9006983149776158,0.050660799349446735
6lhxfy,36,2026-08-20T19:48:26,0.9024411010873187,0.05137361172895343
6lhxfy,37,2026-08-20T19:49:07,0.8967771805428656,0.05173567879695949
6lhxfy,38,2026-08-20T19:49:48,0.8992116131775246,0.05085454379068106
6lhxfy,39,2026-08-20T19:50:29,0.8956842875768919,0.05088333688982241
6lhxfy,40,2026-08-20T19:51:10,0.8973115427399382,0.05077859722774218
6lhxfy,41,2026-08-20T19:51:51,0.8971648865881724,0.052591099938892806
6lhxfy,42,2026-08-20T19:52:32,0.8960265407801739,0.05091516399656152
6lhxfy,43,2026-08-20T19:53:13,0.8956870703219548,0.05170563177414032
6lhxfy,44,2026-08-20T19:53:54,0.8989518689426381,0.0511785623616953
6lhxfy,45,2026-08-20T19:54:35,0.8965650026141279,0.05223503506234143
6lhxfy,46,2026-08-20T19:55:16,0.8996757508225653,0.0499876820707002
6lhxfy,47,2026-08-20T19:56:02,0.8937349577842753,0.04942342924276531
6lhxfy,48,2026-08-20T19:56:47,0.8956141744972501,0.04939151636731903
6lhxfy,49,2026-08-20T19:57:33,0.8964149424375257,0.04909822203104879
6lhxfy,50,2026-08-20T19:58:18,0.8935080385260532,0.05094658903527873
6lhxfy,51,2026-08-20T19:59:03,0.8959218360464644,0.051118267664156176
6lhxfy,52,2026-08-20T19:59:49,0.8945643564241699,0.04946732404153566
6lhxfy,53,2026-08-20T20:00:34,0.8924728159892076,0.049353271197934825
6lhxfy,54,2026-08-20T20:01:20,0.8946942697470989,0.051261954821094094
6lhxfy,55,2026-08-20T20:02:05,0.8962139322724096,0.05122878364387699
6lhxfy,56,2026-08-20T20:02:51,0.8906433489135089,0.051176716840233866
6lhxfy,57,2026-08-20T20:03:36,0.8943849110537451,0.04946276208984748
6lhxfy,58,2026-08-20T20:04:21,0.8934039029441762,0.05113806936575657
6lhxfy,59,2026-08-20T20:05:07,0.8918773829398705,0.04948940235093994
6lhxfy,60,2026-08-20T20:05:52,0.8932681171597137,0.05108748199655877
6lhxfy,61,2026-08-20T20:06:38,0.893330346821466,0.05098200459917335
6lhxfy,62,2026-08-20T20:07:23,0.8916359930146022,0.05101347344051847
6lhxfy,63,2026-08-20T20:08:09,0.890394147988618,0.051191557375095904
6lhxfy,64,2026-08-20T20:08:54,0.8920263547037351,0.04960100561967906
6lhxfy,65,2026-08-20T20:09:39,0.8927217900809067,0.049720588578000276
6lhxfy,66,2026-08-20T20:10:25,0.8954965700191293,0.04888693816701105
6lhxfy,67,2026-08-20T20:11:10,0.8926538106194624,0.05117269137752195
6lhxfy,68,2026-08-20T20:11:56,0.892835034872207,0.051077918875305474
6lhxfy,69,2026-08-20T20:12:41,0.8927787031232878,0.04966394950945961
6lhxfy,70,2026-08-20T20:13:26,0.8956903463845027,0.04902960893814635
6lhxfy,71,2026-08-20T20:14:12,0.8909116535635144,0.04997291543528232
6lhxfy,72,2026-08-20T20:14:57,0.8933556215648797,0.048872421681251325
6lhxfy,73,2026-08-20T20:15:43,0.8920201642282248,0.05104653043962663
6lhxfy,74,2026-08-20T20:16:28,0.8919347258592022,0.04920218487044986
6lhxfy,75,2026-08-20T20:17:14,0.887792330419666,0.05100022507441616
6lhxfy,76,2026-08-20T20:17:59,0.8903489886959874,0.05105858357377914
6lhxfy,77,2026-08-20T20:18:44,0.8903880998697306,0.052644424825660556
6lhxfy,78,2026-08-20T20:19:25,0.8869486828099994,0.05250215850015616
6lhxfy,79,2026-08-20T20:20:06,0.8920661570010345,0.05055432196295797
6lhxfy,80,2026-08-20T20:20:47,0.8925758380400874,0.0528012588258813
6lhxfy,81,2026-08-20T20:21:28,0.8972127678715824,0.052866537309763095
6lhxfy,82,2026-08-20T20:22:09,0.8922271675683188,0.05315501026733843
6lhxfy,83,2026-08-20T20:22:50,0.8926316487583107,0.050243744259686154
6lhxfy,84,2026-08-20T20:23:36,0.8901114503090172,0.05106448947782334
6lhxfy,85,2026-08-20T20:24:21,0.8920009680458957,0.05108591180786859
6lhxfy,86,2026-08-20T20:25:06,0.891479531031283,0.049340724428954666
6lhxfy,87,2026-08-20T20:25:52,0.890567128058155,0.05102904302830293
6lhxfy,88,2026-08-20T20:26:37,0.8939813060742454,0.04907418208242467
6lhxfy,89,2026-08-20T20:27:23,0.8874814003990685,0.049717692381449505
6lhxfy,90,2026-08-20T20:28:08,0.887327314854347,0.04889911403721947
6lhxfy,91,2026-08-20T20:28:54,0.8895459361707752,0.048893526613187674
6lhxfy,92,2026-08-20T20:29:39,0.8874637788328721,0.04879599481637472
6lhxfy,93,2026-08-20T20:30:24,0.8891054986661296,0.04926899815037781
6lhxfy,94,2026-08-20T20:31:10,0.8894699832351656,0.05109109939523389
6lhxfy,95,2026-08-20T20:31:55,0.8912350752939313,0.05085297250973321
6lhxfy,96,2026-08-20T20:32:41,0.8910422482886882,0.04898784337992875
6lhxfy,97,2026-08-20T20:33:26,0.8868912503092787,0.05133565534138248
6lhxfy,98,2026-08-20T20:34:07,0.8889677072748385,0.05039171967473992
6nheas,0,2026-08-21T00:10:42,0.9967484674600529,0.03950031435670844
6nheas,1,2026-08-21T00:11:27,0.9967473949105028,0.03960435393152723
6nheas,2,2026-08-21T00:12:12,0.9973470612890932,0.039858301889584107
6nheas,3,2026-08-21T00:12:58,0.9862028812367952,0.039285174177669156
6nheas,4,2026-08-21T00:13:43,0.9958644658599453,0.039988982495875965
6nheas,5,2026-08-21T00:14:28,0.9957540896215406,0.04006978222618303
6nheas,6,2026-08-21T00:15:13,0.9976904512005588,0.03996115457140876
6nheas,7,2026-08-21T00:15:58,0.9878602134106497,0.0397766783143923
6nheas,8,2026-08-21T00:16:43,0.9955575201362254,0.04001434246836349
6nheas,9,2026-08-21T00:17:28,0.9956420495415353,0.04010038135834476
6nheas,10,2026-08-21T00:18:13,0.9968379860314291,0.040020308300709205
6nheas,11,2026-08-21T00:18:58,0.995985292906368,0.04000416337474698
6nheas,12,2026-08-21T00:19:44,0.9966531969218007,0.04012076036649319
6nheas,13,2026-08-21T00:20:29,0.9959378245948144,0.04019264698644938
6nheas,14,2026-08-21T00:21:14,0.9869111381913356,0.03956071980203711
6nheas,15,2026-08-21T00:21:59,0.9957748477963941,0.0398498493031884
6nheas,16,2026-08-21T00:22:44,0.9954582141559615,0.040097458085264444
6nheas,17,2026-08-21T00:23:29,0.9962032223408985,0.04004806108899611
6nheas,18,2026-08-21T00:24:14,0.9960986189225274,0.040324444780522196
6nheas,19,2026-08-21T00:24:59,0.996440423480618,0.0404446506643786
6nheas,20,2026-08-21T00:25:44,0.9933232344178222,0.03998560188558342
6nheas,21,2026-08-21T00:26:30,0.9967196090958009,0.040096216585707806
