TP4 Time Domain Export File
Generated From: C:\TP4_46\DataStore\EventDatabase.TP4_db
Recording Session ID: 57vqhX 60 in - 4 felt 1 crdbrd
Recording Session Date: 07/28/2026 02:22:59 PM,
Event: 43
EventTime: 7/28/2026 8:51:59 PM
Order: 0

Time (sec), CH2 Acc (G's), CH3 Acc (G's), CH4 Acc (G's), CH5 Acc (G's), 
0.000000E+000, -1.257744E+000, 1.338647E+000, 1.420767E+001, 1.359143E+001
8.000000E-007, -1.413235E+000, 9.579637E-001, 1.490766E+001, 1.426234E+001
1.600000E-006, -1.855518E+000, 1.905204E+000, 1.515615E+001, 1.420831E+001
2.400000E-006, -2.399735E+000, 5.754931E-001, 1.518213E+001, 1.455501E+001
3.200000E-006, -1.477159E+000, 7.488559E-001, 1.579117E+001, 1.423195E+001
4.000000E-006, -1.686207E+000, 1.102731E+000, 1.515777E+001, 1.385822E+001
4.800000E-006, -1.629194E+000, 1.322562E-001, 1.572296E+001, 1.420380E+001
5.600000E-006, -1.131624E+000, 1.179582E+000, 1.562551E+001, 1.399105E+001
6.400000E-006, -2.474025E+000, 1.965970E+000, 1.530719E+001, 1.452462E+001
7.200000E-006, -1.862429E+000, 1.867672E+000, 1.575219E+001, 1.447622E+001
8.000000E-006, -1.112620E+000, 1.313626E+000, 1.508468E+001, 1.468559E+001
8.800000E-006, -2.251155E+000, 2.024949E+000, 1.511392E+001, 1.480041E+001
9.600000E-006, -1.900438E+000, 1.622819E+000, 1.537540E+001, 1.428823E+001
1.040000E-005, -1.459882E+000, -1.018730E-001, 1.571809E+001, 1.412388E+001
1.120000E-005, -1.877978E+000, 8.543035E-001, 1.579767E+001, 1.391901E+001
1.200000E-005, -2.168227E+000, 1.486988E+000, 1.523085E+001, 1.474751E+001
1.280000E-005, -2.327173E+000, 1.100943E+000, 1.557354E+001, 1.538914E+001
1.360000E-005, -3.294668E+000, 1.939162E+000, 1.562064E+001, 1.504806E+001
1.440000E-005, -2.746997E+000, 2.048184E+000, 1.574732E+001, 1.496701E+001
1.520000E-005, -1.836514E+000, 8.417928E-001, 1.557192E+001, 1.542516E+001
1.600000E-005, -2.924947E+000, 1.197455E+000, 1.600230E+001, 1.524168E+001
1.680000E-005, -2.207963E+000, 1.177795E+000, 1.684846E+001, 1.504469E+001
1.760000E-005, -1.883161E+000, 2.877465E-001, 1.550370E+001, 1.543755E+001
1.840000E-005, -2.569046E+000, 1.376179E+000, 1.641158E+001, 1.574148E+001
1.920000E-005, -2.242517E+000, 1.124178E+000, 1.668605E+001, 1.599025E+001
2.000000E-005, -1.402869E+000, -9.114953E-002, 1.490441E+001, 1.569420E+001
2.080000E-005, -1.839970E+000, 1.894480E-001, 1.638559E+001, 1.553323E+001
