print_id,batch,design,mass_g,t180,e_reb_mJ,tavg10ms,late_avg3ms_g,t180_sem,e_reb_mJ_sem,tavg10ms_sem,late_avg3ms_g_sem,H_mm,R_mm,cable_d_mm,strut_d_mm,twist_deg,t180__raw,t180__raw_sem,t180__per_gram,t180__per_gram_sem,t180__resid,t180__resid_sem,t180__resid_offset,e_reb_mJ__raw,e_reb_mJ__raw_sem,e_reb_mJ__per_gram,e_reb_mJ__per_gram_sem,e_reb_mJ__resid,e_reb_mJ__resid_sem,e_reb_mJ__resid_offset,tavg10ms__raw,tavg10ms__raw_sem,tavg10ms__per_gram,tavg10ms__per_gram_sem,tavg10ms__resid,tavg10ms__resid_sem,tavg10ms__resid_offset,late_avg3ms_g__raw,late_avg3ms_g__raw_sem,late_avg3ms_g__per_gram,late_avg3ms_g__per_gram_sem,late_avg3ms_g__resid,late_avg3ms_g__resid_sem,late_avg3ms_g__resid_offset
corny2,corny,trial38,20.21,1.08462,9.22423,1.62795,23.6754,0.00067,0.2158,0.002096,0.435915,80.34,18.26,4.02,7.98,40,1.08462,0.00067,0.0536675,3.31519e-05,0.0413558,0.00067,1.04326,9.22423,0.2158,0.456419,0.0106779,0.623757,0.2158,8.60047,1.62795,0.002096,0.0805517,0.000103711,0.137488,0.002096,1.49046,23.6754,0.435915,1.17147,0.0215693,-13.2706,0.435915,36.946
corny3,corny,trial45,20.15,1.07046,8.75159,1.37701,30.9442,0.0003,0.20101,0.00336231,0.662865,86.47,19.65,4.32,6.89,40,1.07046,0.0003,0.0531246,1.48883e-05,0.0278014,0.0003,1.04266,8.75159,0.20101,0.434322,0.00997568,0.140645,0.20101,8.61094,1.37701,0.00336231,0.068338,0.000166864,-0.110867,0.00336231,1.48788,30.9442,0.662865,1.53569,0.0328965,-5.83169,0.662865,36.7759
corny4,corny,trial44,20.56,1.0475,4.31345,1.38998,24.7244,0.00055,0.0981,0.00132449,0.369001,91.52,20.8,4.58,4.99,40,1.0475,0.00055,0.0509484,2.6751e-05,0.000703177,0.00055,1.0468,4.31345,0.0981,0.209798,0.0047714,-4.22594,0.0981,8.53939,1.38998,0.00132449,0.067606,6.44207e-05,-0.115559,0.00132449,1.50554,24.7244,0.369001,1.20255,0.0179475,-13.214,0.369001,37.9384
corny5,corny,trial40,20.58,1.08756,8.47746,1.55051,27.9322,0.00221,0.26171,0.02432,0.852065,91.62,20.82,4.58,5,40,1.08756,0.00221,0.0528455,0.000107386,0.0405613,0.00221,1.047,8.47746,0.26171,0.411927,0.0127167,-0.0584354,0.26171,8.5359,1.55051,0.02432,0.0753406,0.00118173,0.0441089,0.02432,1.5064,27.9322,0.852065,1.35725,0.0414026,-10.0629,0.852065,37.9951
corny6,corny,trial41,19.45,0.9106,5.72631,1.26036,49.5761,0.00405,0.55165,0.0293734,2.6319,67.29,33.42,2.51,8.65,80,0.9106,0.00405,0.0468175,0.000208226,-0.124993,0.00405,1.03559,5.72631,0.55165,0.294412,0.0283625,-3.00681,0.55165,8.73312,1.26036,0.0293734,0.0648,0.0015102,-0.197361,0.0293734,1.45772,49.5761,2.6319,2.5489,0.135316,14.785,2.6319,34.7911
corny7,corny,trial37,19.62,0.80311,9.36659,1.1606,39.6768,0.00056,0.86136,0.00124019,1.66046,67.12,34.34,2.58,8.98,79,0.80311,0.00056,0.0409332,2.85423e-05,-0.234199,0.00056,1.03731,9.36659,0.86136,0.4774,0.0439021,0.663143,0.86136,8.70345,1.1606,0.00124019,0.0591539,6.32105e-05,-0.304445,0.00124019,1.46504,39.6768,1.66046,2.02226,0.084631,4.40369,1.66046,35.2731
corny8,corny,trial39,19.64,0.95353,17.5404,1.28248,40.5717,0.00055,1.16007,0.00247059,0.0855221,68.3,34.7,2.6,8.86,80,0.95353,0.00055,0.0485504,2.80041e-05,-0.083981,0.00055,1.03751,17.5404,1.16007,0.893097,0.0590667,8.84046,1.16007,8.69996,1.28248,0.00247059,0.0652994,0.000125794,-0.183426,0.00247059,1.46591,40.5717,0.0855221,2.06577,0.00435449,5.24188,0.0855221,35.3298
corny9,corny,trial43,19.46,0.87658,18.0937,1.19382,36.4786,0.00082,0.89126,0.00304576,0.490926,65.47,37.09,2.78,9.25,80,0.87658,0.00082,0.0450452,4.21377e-05,-0.159114,0.00082,1.03569,18.0937,0.89126,0.929789,0.0457996,9.36232,0.89126,8.73137,1.19382,0.00304576,0.0613474,0.000156514,-0.264332,0.00304576,1.45815,36.4786,0.490926,1.87454,0.0252274,1.65916,0.490926,34.8194
drran1,drran,trial36,19.31,1.03259,18.0923,1.28482,22.4464,0.00037,0.42966,0.000634992,0.280957,62.11,25.88,3.11,8.27,40,1.03259,0.00037,0.0534744,1.91611e-05,-0.00159021,0.00037,1.03418,18.0923,0.42966,0.936941,0.0222506,9.33479,0.42966,8.75755,1.28482,0.000634992,0.0665365,3.28841e-05,-0.16687,0.000634992,1.45169,22.4464,0.280957,1.16242,0.0145498,-11.9477,0.280957,34.3941
drran2,drran,trial33,19.33,1.03454,11.7585,1.60777,14.3909,0.00014,0.27956,0.00103209,0.122893,55.37,23.07,5.08,5.54,40,1.03454,0.00014,0.0535199,7.24263e-06,0.000157924,0.00014,1.03438,11.7585,0.27956,0.608305,0.0144625,3.00447,0.27956,8.75406,1.60777,0.00103209,0.0831749,5.33932e-05,0.155218,0.00103209,1.45255,14.3909,0.122893,0.744485,0.00635763,-20.0599,0.122893,34.4508
